name,team_abbr,team_name,pos,jersey_number,goals_ref,assists_ref,own_goals_ref,points_ref,epl_in_ref,id
Igor Thiago,BRE,Brentford,FWD,9,0,0,0,0,true,sr:player:2232678
Gustavo Nunes,BRE,Brentford,FWD,39,0,0,0,0,true,sr:player:2375191
Romelle Donovan,BRE,Brentford,MID,10,0,0,0,0,false,sr:player:2541105
Michael Olakigbe,BRE,Brentford,FWD,37,0,0,0,0,true,sr:player:2586603
Jayden Meghoma,BRE,Brentford,DEF,21,0,0,0,0,true,sr:player:2611327
Yunus Emre Konak,BRE,Brentford,MID,26,0,0,0,0,true,sr:player:2657821
Benjamin Arthur,BRE,Brentford,DEF,43,0,0,0,0,true,sr:player:2659953
Julian Eyestone,BRE,Brentford,GK,41,0,0,0,0,false,sr:player:2819467
Adam Smith,BOU,Bournemouth,DEF,15,0,0,0,0,true,sr:player:44566
Norberto Murara Neto,BOU,Bournemouth,GK,1,0,0,0,0,true,sr:player:84844
Philip Billing,BOU,Bournemouth,MID,29,0,0,0,0,true,sr:player:548660
Marcos Senesi,BOU,Bournemouth,DEF,5,0,0,0,0,true,sr:player:954708
Djordje Petrovic,BOU,Bournemouth,GK,28,0,0,0,0,true,sr:player:1060571
Chris Mepham,BOU,Bournemouth,DEF,6,0,0,0,0,true,sr:player:1089958
Hamed Junior Traore,BOU,Bournemouth,MID,25,0,0,0,0,true,sr:player:1265202
Romain Faivre,BOU,Bournemouth,MID,21,0,0,0,0,true,sr:player:1368608
Julian Araujo,BOU,Bournemouth,DEF,2,0,0,0,0,true,sr:player:1712141
Will Dennis,BOU,Bournemouth,GK,40,0,0,0,0,true,sr:player:1839276
Adrien Truffert,BOU,Bournemouth,DEF,3,0,0,0,0,false,sr:player:1951496
Alex Paulsen,BOU,Bournemouth,GK,13,0,0,0,0,true,sr:player:1957315
Alex Jay Scott,BOU,Bournemouth,MID,8,0,0,0,0,true,sr:player:2131960
Julio Soler,BOU,Bournemouth,DEF,20,0,0,0,0,true,sr:player:2336441
Matai Akinmboni,BOU,Bournemouth,DEF,45,0,0,0,0,true,sr:player:2431805
Daniel Adu-Adjei,BOU,Bournemouth,FWD,44,0,0,0,0,true,sr:player:2539033
Eli Junior Kroupi,BOU,Bournemouth,FWD,22,0,0,0,0,true,sr:player:2592883
Ben Winterburn,BOU,Bournemouth,MID,47,0,0,0,0,true,sr:player:2904977
Remy Rees-Dottin,BOU,Bournemouth,FWD,50,0,0,0,0,true,sr:player:2922797
Harold Ikenna William,BOU,Bournemouth,DEF,56,0,0,0,0,false,sr:player:3029448
Axel Tuanzebe,BUR,Burnley,DEF,,0,1,1,-0.5,true,sr:player:908340
Destiny Udogie,TOT,Tottenham,DEF,13,0,1,1,-0.5,true,sr:player:1722002
Dan Burn,NEW,Newcastle,DEF,33,1,1,2,-0.5,true,sr:player:99090
Andy Robertson,LFC,Liverpool,DEF,26,0,1,1,-0.5,true,sr:player:262911
Ruben Dias,MCI,Manchester City,DEF,3,0,0,1,-1,true,sr:player:318941
Abdukodir Khusanov,MCI,Manchester City,DEF,45,0,0,1,-1,true,sr:player:2343559
Lewis Dunk,BRI,Brighton,DEF,5,0,0,1,-1,true,sr:player:115365
Archie Gray,TOT,Tottenham,MID,14,0,0,1,-1,true,sr:player:2278985
Luke Shaw,MUN,Manchester United,DEF,23,0,0,1,-1,true,sr:player:190839
Alphonse Areola,WHU,West Ham,GK,23,0,0,1,-1,true,sr:player:96531
Issa Diop,FUL,Fulham,DEF,31,0,0,1,-1,true,sr:player:361320
Joachim Andersen,FUL,Fulham,DEF,5,0,0,1,-1,true,sr:player:362682
